"code","family","scientific_name","swh","eng"
"AFZ/QUA","Fabaceae","Afzelia quanzensis","Mbambakofi ","Mahogany"
"ALB","Fabaceae","Albizia spp.",,
"ALB/ADI","Fabaceae","Albizia adianthifolia",,
"ALB/GLA","Fabaceae","Albizia glaberrima","Mgerenge / Mchani",
"ALB/SCH","Fabaceae","Albizia schimperiana",,
"ALB/SCH/amaniensis","Fabaceae","Albizia schimperiana var. amaniensis",,
"BOU/PET","Boraginaceae","Bourreria petiolaris","Mpanda jongoo",
"BOM/RHO","Bombacaceae","Bombax rhodognaphalon","Msufi mwitu",
"OLE/CAP","Oleaceae","Olea capensis",,
"OLE/CAP/macrocarpa","Oleaceae","Olea capensis subsp. macrocarpa",,
"OLE/EUR","Oleaceae","Olea europaea",,
"OLE/EUR/cuspidata","Oleaceae","Olea europaea subsp. cuspidata",,
